,div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,PredictedResult
9461,E0,17/12/17,Bournemouth,Liverpool,0,4,A,0.0,3.0,A,2017-18,A
9462,E0,17/12/17,West Brom,Man United,1,2,A,0.0,2.0,A,2017-18,A
9463,E0,18/12/17,Everton,Swansea,3,1,H,1.0,1.0,D,2017-18,H
9464,E0,22/12/17,Arsenal,Liverpool,3,3,D,0.0,1.0,A,2017-18,D
9465,E0,23/12/17,Brighton,Watford,1,0,H,0.0,0.0,D,2017-18,H
9466,E0,23/12/17,Burnley,Tottenham,0,3,A,0.0,1.0,A,2017-18,A
9467,E0,23/12/17,Everton,Chelsea,0,0,D,0.0,0.0,D,2017-18,A
9468,E0,23/12/17,Leicester,Man United,2,2,D,1.0,1.0,D,2017-18,D
9469,E0,23/12/17,Man City,Bournemouth,4,0,H,1.0,0.0,H,2017-18,H
9470,E0,23/12/17,Southampton,Huddersfield,1,1,D,1.0,0.0,H,2017-18,A
9471,E0,23/12/17,Stoke,West Brom,3,1,H,2.0,0.0,H,2017-18,H
9472,E0,23/12/17,Swansea,Crystal Palace,1,1,D,0.0,0.0,D,2017-18,H
9473,E0,23/12/17,West Ham,Newcastle,2,3,A,1.0,1.0,D,2017-18,A
9474,E0,26/12/17,Bournemouth,West Ham,3,3,D,1.0,1.0,D,2017-18,H
9475,E0,26/12/17,Chelsea,Brighton,2,0,H,0.0,0.0,D,2017-18,H
9476,E0,26/12/17,Huddersfield,Stoke,1,1,D,1.0,0.0,H,2017-18,H
9477,E0,26/12/17,Liverpool,Swansea,5,0,H,1.0,0.0,H,2017-18,H
9478,E0,26/12/17,Man United,Burnley,2,2,D,0.0,2.0,A,2017-18,D
9479,E0,26/12/17,Tottenham,Southampton,5,2,H,2.0,0.0,H,2017-18,H
9480,E0,26/12/17,Watford,Leicester,2,1,H,1.0,1.0,D,2017-18,D
9481,E0,26/12/17,West Brom,Everton,0,0,D,0.0,0.0,D,2017-18,A
9482,E0,27/12/17,Newcastle,Man City,0,1,A,0.0,1.0,A,2017-18,A
9483,E0,28/12/17,Crystal Palace,Arsenal,2,3,A,0.0,1.0,A,2017-18,A
9484,E0,30/12/17,Bournemouth,Everton,2,1,H,1.0,0.0,H,2017-18,H
9485,E0,30/12/17,Chelsea,Stoke,5,0,H,3.0,0.0,H,2017-18,H
9486,E0,30/12/17,Huddersfield,Burnley,0,0,D,0.0,0.0,D,2017-18,H
9487,E0,30/12/17,Liverpool,Leicester,2,1,H,0.0,1.0,A,2017-18,H
9488,E0,30/12/17,Man United,Southampton,0,0,D,0.0,0.0,D,2017-18,A
9489,E0,30/12/17,Newcastle,Brighton,0,0,D,0.0,0.0,D,2017-18,H
9490,E0,30/12/17,Watford,Swansea,1,2,A,1.0,0.0,H,2017-18,H
9491,E0,31/12/17,Crystal Palace,Man City,0,0,D,0.0,0.0,D,2017-18,A
9492,E0,31/12/17,West Brom,Arsenal,1,1,D,0.0,0.0,D,2017-18,D
9493,E0,1/1/2018,Brighton,Bournemouth,2,2,D,1.0,1.0,D,2017-18,H
9494,E0,1/1/2018,Burnley,Liverpool,1,2,A,0.0,0.0,D,2017-18,A
9495,E0,1/1/2018,Everton,Man United,0,2,A,0.0,0.0,D,2017-18,D
9496,E0,1/1/2018,Leicester,Huddersfield,3,0,H,0.0,0.0,D,2017-18,H
9497,E0,1/1/2018,Stoke,Newcastle,0,1,A,0.0,0.0,D,2017-18,H
9498,E0,2/1/2018,Man City,Watford,3,1,H,2.0,0.0,H,2017-18,H
9499,E0,2/1/2018,Southampton,Crystal Palace,1,2,A,1.0,0.0,H,2017-18,H
9500,E0,2/1/2018,Swansea,Tottenham,0,2,A,0.0,1.0,A,2017-18,A
9501,E0,2/1/2018,West Ham,West Brom,2,1,H,0.0,1.0,A,2017-18,H
9502,E0,3/1/2018,Arsenal,Chelsea,2,2,D,0.0,0.0,D,2017-18,H
9503,E0,4/1/2018,Tottenham,West Ham,1,1,D,0.0,0.0,D,2017-18,D
9504,E0,13/01/18,Chelsea,Leicester,0,0,D,0.0,0.0,D,2017-18,H
9505,E0,13/01/18,Crystal Palace,Burnley,1,0,H,1.0,0.0,H,2017-18,H
9506,E0,13/01/18,Huddersfield,West Ham,1,4,A,1.0,1.0,D,2017-18,A
9507,E0,13/01/18,Newcastle,Swansea,1,1,D,0.0,0.0,D,2017-18,D
9508,E0,13/01/18,Tottenham,Everton,4,0,H,1.0,0.0,H,2017-18,H
