Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA
22.10.2006;Leverkusen;Hamburg;1;2;A;20;32;375;21;31;33;20;32;37;21;32;31;183;325;36;191;325;375;20;30;34;183;34;38;20;325;325
27.10.2006;Mainz;Werder Bremen;1;6;A;55;36;161;50;36;16;625;36;157;45;35;165;55;325;157;50;34;165;50;33;161;55;36;157;50;33;16
28.10.2006;Bayern Munich;Ein Frankfurt;2;0;H;128;50;100;125;50;100;127;50;100;13;44;85;128;433;90;13;45;90;128;40;100;125;475;110;13;435;80
28.10.2006;Bochum;Wolfsburg;0;1;A;225;32;31;225;32;29;22;325;31;22;31;30;22;32;28;22;325;295;225;30;287;22;30;32;21;31;31
28.10.2006;Cottbus;Hertha;2;0;H;29;32;237;285;32;23;29;32;24;27;31;24;26;32;237;265;325;24;28;29;237;26;32;25;27;31;235
28.10.2006;Hamburg;Hannover;0;0;D;166;36;50;165;35;48;165;36;50;17;33;45;166;34;433;16;36;50;161;33;50;173;34;45;165;325;45
28.10.2006;M'gladbach;Leverkusen;0;2;A;225;32;31;21;315;325;225;32;31;22;31;30;21;32;30;23;325;28;21;30;32;22;30;32;225;31;28
28.10.2006;Nurnberg;Dortmund;1;1;D;24;32;287;24;30;285;24;32;29;25;30;27;237;32;26;24;32;27;23;29;29;21;32;32;235;29;28
29.10.2006;Bielefeld;Aachen;5;1;H;21;33;33;21;32;32;21;32;34;21;32;31;20;32;32;21;325;315;20;30;34;183;34;38;20;32;325
29.10.2006;Stuttgart;Schalke 04;3;0;H;24;32;287;245;31;27;235;32;30;24;31;27;225;32;275;225;325;288;24;29;275;25;32;26;24;31;265
03.11.2006;Hannover;Bochum;0;2;A;18;34;433;18;335;405;185;33;42;18;32;40;18;32;40;19;325;375;183;30;40;18;325;40;18;325;375
04.11.2006;Aachen;Stuttgart;2;4;A;287;325;237;29;32;225;285;325;235;26;31;25;275;32;225;262;33;24;28;30;23;28;333;225;27;30;235
04.11.2006;Dortmund;Bielefeld;1;1;D;166;36;50;16;345;535;168;35;50;165;35;45;162;35;45;17;34;45;17;32;45;162;33;55;16;33;50
04.11.2006;Hertha;Nurnberg;2;1;H;19;325;40;18;32;43;19;315;425;18;32;40;18;325;375;19;32;38;18;30;42;183;325;40;19;31;375
04.11.2006;Leverkusen;Mainz;1;1;D;15;375;70;155;365;55;155;375;575;155;37;50;15;36;55;15;36;65;157;33;55;15;375;60;15;36;55
04.11.2006;Werder Bremen;Cottbus;1;1;D;125;50;130;125;50;100;122;55;120;122;50;100;125;45;100;125;50;100;125;45;100;125;50;100;12;50;110
04.11.2006;Wolfsburg;Hamburg;1;0;H;26;325;26;255;315;255;265;32;255;255;31;255;25;325;24;26;315;25;25;29;262;25;31;262;24;325;25
05.11.2006;Ein Frankfurt;M'gladbach;1;0;H;21;325;34;20;30;375;20;32;375;20;32;33;191;325;34;215;32;31;195;30;36;191;34;36;20;30;34
05.11.2006;Schalke 04;Bayern Munich;2;2;D;26;32;262;255;315;255;26;32;26;24;31;27;24;325;25;25;33;25;26;28;26;238;32;275;25;31;25
07.11.2006;Dortmund;Aachen;0;0;D;157;38;55;155;355;575;16;36;55;16;36;48;157;35;50;155;36;55;157;33;55;15;36;65;155;35;50
07.11.2006;Mainz;Wolfsburg;1;2;A;23;325;30;21;315;325;22;33;31;23;31;28;225;32;275;21;34;30;23;30;28;23;30;30;22;32;29
07.11.2006;Nurnberg;Werder Bremen;1;2;A;433;33;183;395;325;185;42;335;183;38;32;185;375;32;183;44;33;175;42;30;18;45;34;173;375;33;18
07.11.2006;Stuttgart;Hamburg;2;0;H;18;34;433;18;325;42;182;33;45;18;32;40;166;34;433;17;35;433;18;31;40;173;333;45;175;34;40
