,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend,HomeAttackOld,HomeDefendOld,AwayAttackOld,AwayDefendOld,HomeEloOld,AwayEloOld
50,30.09.2006,Werder Bremen,M'gladbach,3.0,0.0,H,3.0,0.0,H,12.0,7.0,6.0,4.0,18.0,15.0,5.0,3.0,1.0,3.0,0.0,0.0,26,9,2.2124368674121797,-0.9705472267232835,0.6463497842778452,-1.7939345597405918,1.322455521672964,-1.7985293827950954,1.228269100189209,-0.9127826690673828,-0.19667281506947454,36.37678701791741
51,30.09.2006,Wolfsburg,Bayern Munich,1.0,0.0,H,1.0,0.0,H,7.0,17.0,1.0,10.0,18.0,12.0,2.0,7.0,2.0,1.0,0.0,0.0,0,16,0.4943608231842518,-0.7991367420181632,0.771378951263614,-0.8877504854463041,0.13483190536499023,-1.5574255213141441,1.394033670425415,-0.7192729413509369,-10.575011277845372,27.232030382545474
52,01.10.2006,Hertha,Stuttgart,2.0,2.0,D,2.0,1.0,H,17.0,18.0,11.0,9.0,21.0,22.0,6.0,2.0,2.0,3.0,0.0,0.0,42,-16,1.7504273429512978,-1.0392851680517197,1.8974775355309248,-1.904022621922195,1.5599880814552307,-0.3916204869747162,1.6438210904598236,-1.7965216636657715,43.88065909627727,-18.59369478890015
53,01.10.2006,Leverkusen,Schalke 04,3.0,1.0,H,1.0,1.0,D,21.0,12.0,12.0,6.0,27.0,25.0,5.0,10.0,4.0,1.0,0.0,0.0,41,15,2.096387147437781,-1.3098657089285553,1.1879252573125996,-1.4963246286497451,1.0368988029658794,-1.5683158449828625,1.3626535534858704,-0.41339683532714844,22.829475226108702,34.25655252208103
54,13.10.2006,Mainz,Aachen,1.0,3.0,A,1.0,2.0,A,23.0,10.0,10.0,6.0,7.0,13.0,7.0,4.0,2.0,5.0,0.0,0.0,0,29,0.9298450915375724,-1.9132805580738932,2.6067480135534424,-1.2610882696899353,0.9684941964223981,-1.0919394795782864,2.1534529333002865,-1.403710249811411,10.69254370512351,19.354427618754887
55,14.10.2006,Bayern Munich,Hertha,4.0,2.0,H,2.0,0.0,H,16.0,12.0,10.0,5.0,7.0,15.0,4.0,5.0,1.0,3.0,0.0,0.0,45,23,2.352201198533294,-1.3360406355350278,1.9270120099026826,-2.355528080215663,0.771378951263614,-0.8877504854463041,1.7504273429512978,-1.0392851680517197,27.232030382545474,42.10163556016575
56,14.10.2006,Bochum,Werder Bremen,0.0,6.0,A,0.0,1.0,A,12.0,27.0,4.0,16.0,17.0,20.0,3.0,6.0,2.0,1.0,0.0,0.0,-17,35,0.5639288118109107,-3.5969337912029005,3.9331563182322498,-0.5361009152256884,1.0963955442421138,-1.3975814394070767,2.2124368674121797,-0.9705472267232835,-8.651924222136206,26.257251536550292
57,14.10.2006,Hamburg,Schalke 04,1.0,2.0,A,1.0,1.0,D,9.0,10.0,8.0,7.0,32.0,27.0,8.0,2.0,2.0,2.0,1.0,0.0,-8,43,1.0920756717241602,-1.7032930460918578,1.5295416550588925,-1.2986934339405707,1.2465860004886054,-1.3628539252094924,1.1879252573125996,-1.4963246286497451,0.7399636711739277,34.25655252208103
58,14.10.2006,Hannover,Ein Frankfurt,1.0,1.0,D,1.0,0.0,H,14.0,8.0,8.0,3.0,19.0,21.0,7.0,6.0,0.0,1.0,0.0,0.0,-17,17,1.2043237172765657,-1.5826239660964347,1.3835646598527092,-1.2001768771588104,1.3991474970243871,-2.07824399555102,1.7302282489836216,-1.3611477469094098,-18.773475191059433,18.505048310279925
59,14.10.2006,M'gladbach,Wolfsburg,3.0,1.0,H,2.0,1.0,H,11.0,11.0,8.0,6.0,19.0,26.0,5.0,3.0,1.0,2.0,0.0,0.0,51,-15,1.8040765224213828,-1.5594139969398384,0.6140487648726776,-1.7739508984586791,0.6463497842778452,-1.7939345597405918,0.4943608231842518,-0.7991367420181632,36.37678701791741,0.5088879940592275
60,14.10.2006,Stuttgart,Leverkusen,3.0,0.0,H,1.0,0.0,H,24.0,4.0,16.0,2.0,19.0,14.0,5.0,3.0,0.0,2.0,0.0,1.0,9,12,2.5221902460907586,-0.9279657452716492,1.194246248989657,-2.003392287319002,1.8974775355309248,-1.904022621922195,2.096387147437781,-1.3098657089285553,-18.59369478890015,41.170083531427004
61,15.10.2006,Cottbus,Dortmund,2.0,3.0,A,1.0,1.0,D,18.0,9.0,8.0,7.0,32.0,19.0,7.0,2.0,5.0,3.0,0.0,0.0,7,19,1.58126322751923,-2.3741896803330746,1.9426387909470577,-1.5973154071089084,1.1844126234063879,-1.635315488849301,1.1830600015819073,-1.2719572968780994,17.990329549591774,9.466659851497994
62,15.10.2006,Nurnberg,Bielefeld,1.0,1.0,D,1.0,1.0,D,23.0,7.0,11.0,6.0,7.0,11.0,11.0,3.0,2.0,1.0,0.0,0.0,9,18,0.9220179246040061,-0.6798323121038266,1.7881436874959036,-1.246930908280774,0.9511272870004177,-0.7271309718489647,2.196996362414211,-1.3794930381700397,9.684084684859188,19.215355917551754
63,20.10.2006,Dortmund,Bochum,1.0,1.0,D,1.0,1.0,D,18.0,16.0,7.0,6.0,8.0,19.0,4.0,1.0,1.0,1.0,0.0,0.0,8,-16,1.2645325204415485,-1.427831027966704,0.6739766288859812,-2.5900170544466192,1.9426387909470577,-1.5973154071089084,0.5639288118109107,-3.5969337912029005,9.466659851497994,-17.650525006539826
64,21.10.2006,Aachen,Cottbus,1.0,2.0,A,1.0,0.0,H,16.0,15.0,12.0,6.0,23.0,22.0,6.0,0.0,2.0,3.0,0.0,0.0,9,18,1.8324437984292672,-1.5905222651163058,1.7894742340599805,-1.7548130754045133,2.6067480135534424,-1.2610882696899353,1.58126322751923,-2.3741896803330746,19.354427618754887,7.745047822268425
